service_provider,year_founded,prog_count_curr_year,number_student_last_year,num_teachers_on_website
АНО ДПО Учебный центр «Престиж»,2010,23,178,3
ЧОУ ДПО «Научно-образовательный центр социально-экономических технологий»,2014,20,705,23
ЧОУ ДПО Учебный центр «Мастерпроф»,2015,6,307,5
АНО «Тюменский межрегиональный центр охраны труда»,2008,11,300,4
ФГАОУ ВО «Тюменский государственный университет»,1930,12,3700,630
ООО Научно-техническая академия «Техно Эксперт»,2019,185,175,6
АНО ДПО «Учебный комбинат «Тобольский»,2014,31,168,5
ООО «Старт Бэст»,2014,7,258,4
ООО «Центр развития бизнеса»,2016,5,310,6
ООО «Санкт-Петербургская школа дизайна»,2009,10,1050,15
ГАПОУ Тюменской области «Тюменский колледж производственных и социальных технологий»,1990,17,198,94
ФГБОУ ВО «Тюменский индустриальный университет»,1960,13,4500,650
НАСО «НАСО»,2018,258,340,7
ЧОУ ДПО «Учебный центр «Дельфа»,1999,18,295,5
ИП Гатауллина Юлия Касимулловна,2019,210,203,2
АНО ДПО «Учебный центр СКБ Контур»,2014,61,4500,20
"ЧПОУ ТОСПО «Тюменский колледж экономики, управления и права»",1991,12,403,101
АНО ТО «Научно-исследовательский институт безопасности жизнедеятельности»,2015,5,401,4
ИП Кошемирова Людмила Константиновна,2018,5,180,3
ООО «Статус»,2016,4,302,10
ООО «Гарант Сервис Университет»,2020,436,215,12
АНО ДПО «Образовательный центр «Премьер»,2018,56,203,9
ИП Ильященко Наталья Ивановна,2017,19,150,2
ООО «Центр профессионального развития «Партнер»,2021,25,297,8
